##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BAC_R1_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2497653
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	58
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.294854008943595	34.0	34.0	34.0	34.0	34.0
2	33.51293073937813	34.0	34.0	34.0	34.0	34.0
3	33.45855569208373	34.0	34.0	34.0	34.0	34.0
4	33.4456507769494	34.0	34.0	34.0	34.0	34.0
5	33.5065751727722	34.0	34.0	34.0	34.0	34.0
6	33.538383434368185	34.0	34.0	34.0	34.0	34.0
7	33.46794050254379	34.0	34.0	34.0	34.0	34.0
8	33.46514027368894	34.0	34.0	34.0	34.0	34.0
9	33.54583523011403	34.0	34.0	34.0	34.0	34.0
10-14	33.55248771546728	34.0	34.0	34.0	34.0	34.0
15-19	33.49368979598047	34.0	34.0	34.0	34.0	34.0
20-24	33.45983000841189	34.0	34.0	34.0	34.0	34.0
25-29	33.50620378411252	34.0	34.0	34.0	34.0	34.0
30-34	33.48947672074543	34.0	34.0	34.0	34.0	34.0
35-39	33.49953748693575	34.0	34.0	34.0	34.0	34.0
40-44	33.49005476310574	34.0	34.0	34.0	34.0	34.0
45-49	33.453365081342135	34.0	34.0	34.0	34.0	34.0
50-54	33.42604277458314	34.0	34.0	34.0	34.0	34.0
55-59	33.373074963958985	34.0	34.0	34.0	34.0	34.0
60-64	33.36397703257363	34.0	34.0	34.0	34.0	34.0
65-69	33.3437771914457	34.0	34.0	34.0	34.0	34.0
70-74	33.31331818625231	34.0	34.0	34.0	34.0	34.0
75-79	33.2905213197002	34.0	34.0	34.0	34.0	34.0
80-84	33.2246007809337	34.0	34.0	34.0	34.0	34.0
85-89	33.12404451155159	34.0	34.0	34.0	34.0	34.0
90-94	33.19700692898911	34.0	34.0	34.0	34.0	34.0
95-99	33.151995164322294	34.0	34.0	34.0	34.0	34.0
100-104	33.129776801231216	34.0	34.0	34.0	34.0	34.0
105-109	33.03921046887264	34.0	34.0	34.0	34.0	34.0
110-114	33.087606044115624	34.0	34.0	34.0	34.0	34.0
115-119	32.98504247089572	34.0	34.0	34.0	34.0	34.0
120-124	33.007559710756944	34.0	34.0	34.0	34.0	34.0
125-129	32.9624064939144	34.0	34.0	34.0	34.0	34.0
130-134	32.89254207602341	34.0	34.0	34.0	34.0	34.0
135-139	32.72347101243061	34.0	34.0	34.0	34.0	34.0
140-144	32.64305482248564	34.0	34.0	34.0	34.0	34.0
145-149	32.61936648252323	34.0	34.0	34.0	34.0	34.0
150-151	32.33521976375695	34.0	34.0	34.0	30.0	34.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.031552357519203156
1101	2	0.09414170107208264
1101	3	0.15856876356308192
1101	4	0.17291795981871871
1101	5	0.08190531923555255
1101	6	0.1511172543679109
1101	7	-0.005214780562944554
1101	8	0.23114886159795134
1101	9	0.16271247616447226
1101	10-14	0.1828030631414137
1101	15-19	0.1959261340455356
1101	20-24	0.1707870244755867
1101	25-29	0.16438896903711253
1101	30-34	0.17212252755999202
1101	35-39	0.16783778561720197
1101	40-44	0.18137041074157878
1101	45-49	0.18665894694502327
1101	50-54	0.2348562830397256
1101	55-59	0.21561839538690464
1101	60-64	0.2310127986045316
1101	65-69	0.20886868975529183
1101	70-74	0.25186549590274154
1101	75-79	0.2802733427280444
1101	80-84	0.24912768735956803
1101	85-89	0.1406781080679309
1101	90-94	0.04166960518071505
1101	95-99	0.06173069494899153
1101	100-104	0.1343339846959708
1101	105-109	0.14567732209425088
1101	110-114	0.020323588185199526
1101	115-119	0.15355466319866906
1101	120-124	0.019674070369333663
1101	125-129	0.17004047923553145
1101	130-134	0.11410818728064243
1101	135-139	0.24681567192460818
1101	140-144	0.30777205496496407
1101	145-149	0.21735165516348331
1101	150-151	0.15857068792229967
1102	1	0.050159408909507874
1102	2	0.14234593253878813
1102	3	0.1661283482092628
1102	4	0.2630230250860137
1102	5	0.18264304830176314
1102	6	0.15293673839818211
1102	7	0.10410199713602708
1102	8	0.11376449516458109
1102	9	0.2129703227973465
1102	10-14	0.17208348571787013
1102	15-19	0.15744862575375151
1102	20-24	0.1520285415416751
1102	25-29	0.18810930414701943
1102	30-34	0.16445805907655142
1102	35-39	0.15316052565043492
1102	40-44	0.11728024945171711
1102	45-49	0.1278040448090607
1102	50-54	0.18837342445719685
1102	55-59	0.17939303876198665
1102	60-64	0.19264381039310052
1102	65-69	0.14360297459731441
1102	70-74	0.16578170088440203
1102	75-79	0.26507212335193486
1102	80-84	0.2557535672705029
1102	85-89	0.32797936560103125
1102	90-94	0.19191133794147675
1102	95-99	0.18668482013774224
1102	100-104	0.15624661507067117
1102	105-109	0.2506073759720664
1102	110-114	0.208776661100174
1102	115-119	0.2760916405917513
1102	120-124	0.2091334633203843
1102	125-129	0.27368485674304566
1102	130-134	0.28857318804211474
1102	135-139	0.4126862571464258
1102	140-144	0.48820658841708564
1102	145-149	0.3920256937464188
1102	150-151	0.5368457494818912
1103	1	-0.09695387535974476
1103	2	-0.030853650752540318
1103	3	0.13478278246002873
1103	4	0.016971675823654664
1103	5	0.07280334671894906
1103	6	0.13013370045752737
1103	7	0.10569321936944931
1103	8	0.07584064531413048
1103	9	0.09275659157444238
1103	10-14	0.09412804666151686
1103	15-19	0.14552605291374476
1103	20-24	0.1126606617150756
1103	25-29	0.1097223699802754
1103	30-34	0.09393683717918577
1103	35-39	0.13399301110811734
1103	40-44	0.13852189413078264
1103	45-49	0.12697352927859384
1103	50-54	0.14101208675260324
1103	55-59	0.2086204930284694
1103	60-64	0.167310175158633
1103	65-69	0.19709329938972786
1103	70-74	0.19925620922985843
1103	75-79	0.1567216270876841
1103	80-84	0.21480759630579627
1103	85-89	0.3521725535867475
1103	90-94	0.17034213369516493
1103	95-99	0.25672261888072256
1103	100-104	0.19469547142167443
1103	105-109	0.3098855987581359
1103	110-114	0.21343128468231498
1103	115-119	0.2590023145489724
1103	120-124	0.28399393839121245
1103	125-129	0.25120243696975564
1103	130-134	0.26327600902529014
1103	135-139	0.46384084719791474
1103	140-144	0.4809582453541026
1103	145-149	0.35850069479701574
1103	150-151	0.5141602650166988
1104	1	-0.11341754364041634
1104	2	0.015940805062029995
1104	3	0.07643322589502333
1104	4	0.020636462259368216
1104	5	0.10003341710281433
1104	6	0.10400764178766764
1104	7	0.07450384849805403
1104	8	0.08037483057510997
1104	9	0.13103343478314855
1104	10-14	0.1810586112299788
1104	15-19	0.0916359715480013
1104	20-24	0.12263570289713499
1104	25-29	0.05484491777640699
1104	30-34	0.0490059731049044
1104	35-39	0.09529124909278153
1104	40-44	0.07671511725657609
1104	45-49	0.1267550687237815
1104	50-54	0.06737435799094271
1104	55-59	0.2131246768441173
1104	60-64	0.1918274441257921
1104	65-69	0.15875073930295258
1104	70-74	0.15973978302200464
1104	75-79	0.19637430642561782
1104	80-84	0.29435866989484083
1104	85-89	0.3390815319237461
1104	90-94	0.3072331256208898
1104	95-99	0.2517347106522365
1104	100-104	0.2962699004009437
1104	105-109	0.29120578791906127
1104	110-114	0.2540714723571966
1104	115-119	0.31880300147797414
1104	120-124	0.25714498965556487
1104	125-129	0.24495168152906643
1104	130-134	0.27710983685987856
1104	135-139	0.47387803195442757
1104	140-144	0.5846394147177847
1104	145-149	0.4693333292646571
