##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BAC_R2_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2497653
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	58
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.082509860256806	34.0	34.0	34.0	34.0	34.0
2	33.222756724012505	34.0	34.0	34.0	34.0	34.0
3	33.19352928529303	34.0	34.0	34.0	34.0	34.0
4	33.238147172565604	34.0	34.0	34.0	34.0	34.0
5	33.19927467906871	34.0	34.0	34.0	34.0	34.0
6	33.285599721018094	34.0	34.0	34.0	34.0	34.0
7	33.20338653928308	34.0	34.0	34.0	34.0	34.0
8	33.18050826115557	34.0	34.0	34.0	34.0	34.0
9	33.32983004444573	34.0	34.0	34.0	34.0	34.0
10-14	33.301720295012956	34.0	34.0	34.0	34.0	34.0
15-19	33.22307173974927	34.0	34.0	34.0	34.0	34.0
20-24	33.160659867483595	34.0	34.0	34.0	34.0	34.0
25-29	33.26271455642558	34.0	34.0	34.0	34.0	34.0
30-34	33.24273916352672	34.0	34.0	34.0	34.0	34.0
35-39	33.230173925438145	34.0	34.0	34.0	34.0	34.0
40-44	33.203573997270176	34.0	34.0	34.0	34.0	34.0
45-49	33.16230175315289	34.0	34.0	34.0	34.0	34.0
50-54	33.1151247813335	34.0	34.0	34.0	34.0	34.0
55-59	33.055293995788624	34.0	34.0	34.0	34.0	34.0
60-64	32.98991041455376	34.0	34.0	34.0	34.0	34.0
65-69	32.99457601918006	34.0	34.0	34.0	34.0	34.0
70-74	32.93174833025064	34.0	34.0	34.0	34.0	34.0
75-79	32.85407045081804	34.0	34.0	34.0	34.0	34.0
80-84	32.7665291303589	34.0	34.0	34.0	34.0	34.0
85-89	32.74073804655133	34.0	34.0	34.0	34.0	34.0
90-94	32.69905188054256	34.0	34.0	34.0	34.0	34.0
95-99	32.52891151130325	34.0	34.0	34.0	32.4	34.0
100-104	32.59374778700294	34.0	34.0	34.0	34.0	34.0
105-109	32.515616300820334	34.0	34.0	34.0	32.4	34.0
110-114	32.42897635922627	34.0	34.0	34.0	26.0	34.0
115-119	32.34974421629047	34.0	34.0	34.0	26.0	34.0
120-124	32.27383942592639	34.0	34.0	34.0	26.0	34.0
125-129	32.166199900156286	34.0	34.0	34.0	26.0	34.0
130-134	32.11863020370462	34.0	34.0	34.0	26.0	34.0
135-139	31.982360802213588	34.0	34.0	34.0	26.0	34.0
140-144	31.83252763008	34.0	34.0	34.0	26.0	34.0
145-149	31.68673049445752	34.0	34.0	34.0	26.0	34.0
150-151	31.254460797059977	34.0	34.0	34.0	19.0	34.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.20112085964081672
1101	2	0.23834424890546302
1101	3	0.2577777752914088
1101	4	0.26337980636414926
1101	5	0.2716985820404716
1101	6	0.22841871326241403
1101	7	0.3251285935837771
1101	8	0.3125250512536013
1101	9	0.18117308709945235
1101	10-14	0.27166442333302143
1101	15-19	0.2930917616881885
1101	20-24	0.3113508202226427
1101	25-29	0.3181636004553212
1101	30-34	0.2674286440001552
1101	35-39	0.3542144846159516
1101	40-44	0.34931095379422317
1101	45-49	0.37689518679433576
1101	50-54	0.32922619849738766
1101	55-59	0.3419303945290153
1101	60-64	0.4383191737240679
1101	65-69	0.39172658711365216
1101	70-74	0.5026565304704533
1101	75-79	0.42536174709195507
1101	80-84	0.5289320543455887
1101	85-89	0.4272286213082239
1101	90-94	0.4506476364787133
1101	95-99	0.5816276458076501
1101	100-104	0.5135650554760076
1101	105-109	0.5647017958389924
1101	110-114	0.5480637352929278
1101	115-119	0.5005895360807742
1101	120-124	0.6189006217113402
1101	125-129	0.5796434497109715
1101	130-134	0.5476797524278538
1101	135-139	0.6977446753323662
1101	140-144	0.6701127296286771
1101	145-149	0.6478423680242784
1101	150-151	0.9209345493600374
1102	1	0.21984530284501602
1102	2	0.15117748619606886
1102	3	0.16154555867431952
1102	4	0.3659724415144012
1102	5	0.1831667743321148
1102	6	0.1710617686823781
1102	7	0.19424496885365272
1102	8	0.1557168029260012
1102	9	0.25094589350237584
1102	10-14	0.24484612723748
1102	15-19	0.28317445058493007
1102	20-24	0.32737973153014366
1102	25-29	0.28765380798535034
1102	30-34	0.3079043017056051
1102	35-39	0.28890211890394113
1102	40-44	0.29053943307249597
1102	45-49	0.27559504832585446
1102	50-54	0.35761083648469594
1102	55-59	0.3651439540831518
1102	60-64	0.40464194745860027
1102	65-69	0.39834515747555344
1102	70-74	0.4169198066027491
1102	75-79	0.439017532796079
1102	80-84	0.48402962804847505
1102	85-89	0.41480104139694873
1102	90-94	0.38915837978964873
1102	95-99	0.5844851075564108
1102	100-104	0.456198207794003
1102	105-109	0.5699672800994975
1102	110-114	0.5804805617188293
1102	115-119	0.5302453341370992
1102	120-124	0.5681847301358758
1102	125-129	0.5340812158525381
1102	130-134	0.48978519395863174
1102	135-139	0.6233508718639555
1102	140-144	0.6519719010942921
1102	145-149	0.525922876343877
1102	150-151	0.9897370369683891
1103	1	0.0033046569465682296
1103	2	0.11899178199202254
1103	3	0.144062277429569
1103	4	0.1529754996183783
1103	5	0.24311737419096602
1103	6	0.2639138707087909
1103	7	0.24077519703525496
1103	8	0.20515727071509104
1103	9	0.12820670608429197
1103	10-14	0.22609726142440678
1103	15-19	0.29266767906899105
1103	20-24	0.2967486195228801
1103	25-29	0.25352032678765823
1103	30-34	0.25859187101703895
1103	35-39	0.2766476239798763
1103	40-44	0.2634763159773854
