##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	WT_R1_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1869617
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	53
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.30870333335651	34.0	34.0	34.0	34.0	34.0
2	33.49927712467313	34.0	34.0	34.0	34.0	34.0
3	33.4504318264115	34.0	34.0	34.0	34.0	34.0
4	33.44004574198887	34.0	34.0	34.0	34.0	34.0
5	33.487476846862215	34.0	34.0	34.0	34.0	34.0
6	33.52328632013936	34.0	34.0	34.0	34.0	34.0
7	33.4514405891688	34.0	34.0	34.0	34.0	34.0
8	33.43287528943094	34.0	34.0	34.0	34.0	34.0
9	33.53834929827874	34.0	34.0	34.0	34.0	34.0
10-14	33.536575245090305	34.0	34.0	34.0	34.0	34.0
15-19	33.47174891969853	34.0	34.0	34.0	34.0	34.0
20-24	33.435243047105374	34.0	34.0	34.0	34.0	34.0
25-29	33.48724193243857	34.0	34.0	34.0	34.0	34.0
30-34	33.47638024258444	34.0	34.0	34.0	34.0	34.0
35-39	33.487610110933396	34.0	34.0	34.0	34.0	34.0
40-44	33.475992839394976	34.0	34.0	34.0	34.0	34.0
45-49	33.437226425172035	34.0	34.0	34.0	34.0	34.0
50-54	33.408211409253276	34.0	34.0	34.0	34.0	34.0
55-59	33.35352492642845	34.0	34.0	34.0	34.0	34.0
60-64	33.3460786816308	34.0	34.0	34.0	34.0	34.0
65-69	33.32554632664339	34.0	34.0	34.0	34.0	34.0
70-74	33.291312530196514	34.0	34.0	34.0	34.0	34.0
75-79	33.2648745350113	34.0	34.0	34.0	34.0	34.0
80-84	33.196268343736975	34.0	34.0	34.0	34.0	34.0
85-89	33.09738394904234	34.0	34.0	34.0	34.0	34.0
90-94	33.17300897315339	34.0	34.0	34.0	34.0	34.0
95-99	33.1249466054568	34.0	34.0	34.0	34.0	34.0
100-104	33.104597651593664	34.0	34.0	34.0	34.0	34.0
105-109	33.01157937060076	34.0	34.0	34.0	34.0	34.0
110-114	33.05918882192107	34.0	34.0	34.0	34.0	34.0
115-119	32.95322270955949	34.0	34.0	34.0	34.0	34.0
120-124	32.98088314706341	34.0	34.0	34.0	34.0	34.0
125-129	32.928320417890134	34.0	34.0	34.0	34.0	34.0
130-134	32.862560414472085	34.0	34.0	34.0	34.0	34.0
135-139	32.69540280716215	34.0	34.0	34.0	34.0	34.0
140-144	32.617652332706704	34.0	34.0	34.0	34.0	34.0
145-149	32.593959085227766	34.0	34.0	34.0	34.0	34.0
150-151	32.31781071903637	34.0	34.0	34.0	30.0	34.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.08309550967115342
1101	2	0.048373992621414175
1101	3	0.1427889763906549
1101	4	0.13334262595007118
1101	5	0.1556676139941331
1101	6	0.06360021555511963
1101	7	0.06327758822387608
1101	8	0.20542185657000545
1101	9	0.0627588776904986
1101	10-14	0.13242812740296017
1101	15-19	0.12463118098190051
1101	20-24	0.13723465074693308
1101	25-29	0.12745390394510991
1101	30-34	0.1661480653941254
1101	35-39	0.1403906962086765
1101	40-44	0.1493286772200335
1101	45-49	0.15025676026726842
1101	50-54	0.20371077593797793
1101	55-59	0.19203854683318866
1101	60-64	0.1995513689766426
1101	65-69	0.2111011407004213
1101	70-74	0.20176154295815252
1101	75-79	0.30213276413654455
1101	80-84	0.20920535692652464
1101	85-89	0.2052983906134429
1101	90-94	0.22181751651507398
1101	95-99	0.17776690849650834
1101	100-104	0.2350137297593946
1101	105-109	0.3026764489392235
1101	110-114	0.18624463054046458
1101	115-119	0.24679260318463747
1101	120-124	0.1950103771808145
1101	125-129	0.1848701064542695
1101	130-134	0.27333633941398006
1101	135-139	0.3744435871243468
1101	140-144	0.3991309543512216
1101	145-149	0.3259056759174044
1101	150-151	0.3300679743614694
1102	1	0.0037019279048280396
1102	2	0.10146363070240483
1102	3	-0.028216587997263787
1102	4	0.07104719903527013
1102	5	0.03956362072750608
1102	6	0.11577804217066046
1102	7	0.09446037135302987
1102	8	0.17714401125063972
1102	9	0.1394854745295504
1102	10-14	0.05857490566911849
1102	15-19	0.12122240888800206
1102	20-24	0.16853900873815064
1102	25-29	0.10721052042318036
1102	30-34	0.10489537671929838
1102	35-39	0.10633930255216484
1102	40-44	0.1390678279155182
1102	45-49	0.17283670849791832
1102	50-54	0.06680428533368854
1102	55-59	0.15196773291897614
1102	60-64	0.16832192514673494
1102	65-69	0.06229487283410151
1102	70-74	0.14743415396960557
1102	75-79	0.21154136234383714
1102	80-84	0.28610929453630973
1102	85-89	0.39722486933527534
1102	90-94	0.19432891245393336
1102	95-99	0.2339034674124889
1102	100-104	0.21139622351880405
1102	105-109	0.3181528500302022
1102	110-114	0.2684966206375208
1102	115-119	0.38266412731413624
1102	120-124	0.31531927832354256
1102	125-129	0.22351753952294473
1102	130-134	0.3027286588688156
1102	135-139	0.3353602980721533
1102	140-144	0.4004310545849421
1102	145-149	0.3921630229883064
1102	150-151	0.37510730316337515
1103	1	0.007918408438570168
1103	2	0.057984597666155935
1103	3	0.06900074204852302
1103	4	0.15350018727529857
1103	5	0.15269672180168214
1103	6	-0.022164066691203743
1103	7	0.10136598671646624
1103	8	0.07391941743284036
1103	9	0.17904994420612041
1103	10-14	0.11478744351975934
1103	15-19	0.15698153818254923
1103	20-24	0.18296413771894038
1103	25-29	0.10427718787916973
1103	30-34	0.17216903503786085
1103	35-39	0.1345239904877289
