##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	WT_R2_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1869617
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	53
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.996485376416665	34.0	34.0	34.0	34.0	34.0
2	33.10368808156965	34.0	34.0	34.0	34.0	34.0
3	33.09994720843895	34.0	34.0	34.0	34.0	34.0
4	33.15691395617391	34.0	34.0	34.0	34.0	34.0
5	33.09605657201448	34.0	34.0	34.0	34.0	34.0
6	33.19768487342595	34.0	34.0	34.0	34.0	34.0
7	33.127300404307405	34.0	34.0	34.0	34.0	34.0
8	33.09537407929004	34.0	34.0	34.0	34.0	34.0
9	33.27095335568729	34.0	34.0	34.0	34.0	34.0
10-14	33.23354719175104	34.0	34.0	34.0	34.0	34.0
15-19	33.15679008053521	34.0	34.0	34.0	34.0	34.0
20-24	33.100346434590605	34.0	34.0	34.0	34.0	34.0
25-29	33.21452490001963	34.0	34.0	34.0	34.0	34.0
30-34	33.19489328563016	34.0	34.0	34.0	34.0	34.0
35-39	33.17720964980905	34.0	34.0	34.0	34.0	34.0
40-44	33.14829838893819	34.0	34.0	34.0	34.0	34.0
45-49	33.10251956358008	34.0	34.0	34.0	34.0	34.0
50-54	33.04750870343564	34.0	34.0	34.0	34.0	34.0
55-59	32.9890044243659	34.0	34.0	34.0	34.0	34.0
60-64	32.92413786352899	34.0	34.0	34.0	34.0	34.0
65-69	32.927645458876604	34.0	34.0	34.0	34.0	34.0
70-74	32.85748753730788	34.0	34.0	34.0	34.0	34.0
75-79	32.77441851999877	34.0	34.0	34.0	34.0	34.0
80-84	32.68347260568974	34.0	34.0	34.0	34.0	34.0
85-89	32.658904181916775	34.0	34.0	34.0	34.0	34.0
90-94	32.61269298087205	34.0	34.0	34.0	34.0	34.0
95-99	32.442792380811	34.0	34.0	34.0	32.4	34.0
100-104	32.508864738952276	34.0	34.0	34.0	32.4	34.0
105-109	32.426062658200934	34.0	34.0	34.0	26.0	34.0
110-114	32.332135484511646	34.0	34.0	34.0	26.0	34.0
115-119	32.248032591749194	34.0	34.0	34.0	26.0	34.0
120-124	32.17685400962468	34.0	34.0	34.0	26.0	34.0
125-129	32.063272014804554	34.0	34.0	34.0	26.0	34.0
130-134	32.01097817580556	34.0	34.0	34.0	26.0	34.0
135-139	31.873456129251036	34.0	34.0	34.0	26.0	34.0
140-144	31.716138821273837	34.0	34.0	34.0	26.0	34.0
145-149	31.570081474659492	34.0	34.0	34.0	26.0	34.0
150-151	31.128271936428106	34.0	34.0	34.0	19.0	34.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.2333360897859933
1101	2	0.06004979383953213
1101	3	0.23187353643228903
1101	4	0.19739258050328345
1101	5	0.07156334221291161
1101	6	0.14533098248832488
1101	7	0.2402612371570143
1101	8	0.40280264941804234
1101	9	0.16836374414372557
1101	10-14	0.17695873743259938
1101	15-19	0.22845518718288815
1101	20-24	0.34190127643505974
1101	25-29	0.23783689255327545
1101	30-34	0.18370050195439092
1101	35-39	0.28234413204100406
1101	40-44	0.21294398239768242
1101	45-49	0.2694091899520572
1101	50-54	0.3249750472612263
1101	55-59	0.3147371644756589
1101	60-64	0.332562430646945
1101	65-69	0.40516512391809556
1101	70-74	0.43022651884609076
1101	75-79	0.46443920718521525
1101	80-84	0.38923963781406457
1101	85-89	0.45167302365281614
1101	90-94	0.5080914259672369
1101	95-99	0.6140854784393781
1101	100-104	0.43198806015062985
1101	105-109	0.5268730818956087
1101	110-114	0.5570440917746993
1101	115-119	0.5991017848023432
1101	120-124	0.5364602518688528
1101	125-129	0.5946973619812752
1101	130-134	0.6485176350337625
1101	135-139	0.6285529827318186
1101	140-144	0.6299401380139678
1101	145-149	0.6010403338839794
1101	150-151	0.6710695182438045
1102	1	-0.02345579426555844
1102	2	0.27653487753914874
1102	3	0.11322699196394126
1102	4	0.16759504940817038
1102	5	0.22432098740134876
1102	6	0.1033408955155366
1102	7	0.3630401579463225
1102	8	0.21381218836876315
1102	9	0.25957996035994313
1102	10-14	0.22605277091244602
1102	15-19	0.30331490849590637
1102	20-24	0.3200727437501314
1102	25-29	0.2587734865867617
1102	30-34	0.2485934225566524
1102	35-39	0.26179261659154207
1102	40-44	0.2894708709115008
1102	45-49	0.3349598796493538
1102	50-54	0.3490015894997853
1102	55-59	0.29351772828371736
1102	60-64	0.43989185222872607
1102	65-69	0.3775964975305044
1102	70-74	0.43257559344215224
1102	75-79	0.41417452312274605
1102	80-84	0.514041302024907
1102	85-89	0.4395384309148156
1102	90-94	0.479755079974872
1102	95-99	0.6079385758706692
1102	100-104	0.5277274479644305
1102	105-109	0.47057991153261014
1102	110-114	0.5708205020732038
1102	115-119	0.5148776133732724
1102	120-124	0.54613980235208
1102	125-129	0.6225582488148618
1102	130-134	0.558442968738305
1102	135-139	0.6287969936504396
1102	140-144	0.5719883899680447
1102	145-149	0.6884155185479344
1102	150-151	0.9810031345688017
1103	1	-0.02713651981396481
1103	2	0.06285595757384499
1103	3	0.2128300596792343
1103	4	0.11366139422718646
1103	5	0.15322097289748626
1103	6	0.16763001376939002
1103	7	0.18236640905261225
1103	8	0.22166203489419445
1103	9	0.17617534102718224
1103	10-14	0.3009747016431703
1103	15-19	0.287860893145492
1103	20-24	0.34755608650603165
1103	25-29	0.2880825402540168
1103	30-34	0.2723856798611237
1103	35-39	0.21971210440703715
1103	40-44	0.2578707628924306
